,name,position,lon,lat
0,凤凰国际书城,南京市鼓楼区湖南路1号凤凰广场F1,118.789134,32.075111
1,先锋书店(五台山店),南京市鼓楼区广州路173号五台山体育馆地下车库,118.779919,32.056881
2,南京图书馆,南京市玄武区梅园新村街道大行宫社区中山东路189号,118.802104,32.0483
3,新华书店(江东中路店),江苏省南京市建邺区江东中路209号凤凰文化广场15幢,118.744024,32.022036
4,先锋书店(老门东店),南京市秦淮区边营2号,118.791736,32.017722
5,新华书店(南京中山北路店),南京市鼓楼区中山北路217号,118.776174,32.076803
6,南京书店,南京市秦淮区夫子庙东市2号2楼,118.795747,32.026993
7,先锋书店(南博店),江苏省南京市玄武区中山东路321号南京博物院民国馆内,118.831244,32.046573
8,先锋书店(陵园路店),江苏省南京市玄武区陵园路中山陵3号,118.855604,32.060065
9,新华书店(南京大厂店),新华路421号,118.765298,32.235387
10,大众书局(国药大厦店),江苏省南京市鼓楼区汉中路6号国药大厦1层,118.787823,32.048726
11,西西弗书店(南京茂业天地店),南京市秦淮区建康路2号茂业天地B1层B114,118.791446,32.028903
12,当当书店(夫子庙店),夫子庙贡院街122号秦淮礼物三楼,118.796822,32.027111
13,大众书局(万达广场店),南京市建邺区江东中路98号万达广场B1,118.74359,32.038241
14,春秋书店(龙江店),苏省南京市鼓楼区阳光广场9号,118.751101,32.062112
15,新华书店(湖南路店),江苏省南京市鼓楼区玄武门凤凰广场B楼(玄武饭店西南),118.788781,32.075202
16,凤凰书城,南京市鼓楼区湖南路1号凤凰广场F2,118.789256,32.075015
17,凤凰云书坊24h书店,江苏省南京市鼓楼区中央路凤凰广场C座2楼,118.790331,32.074591
18,唯楚书店,江苏省南京市鼓楼区汉口路28号,118.784343,32.060156
19,南京市江宁区图书馆,土山路46号,118.849934,31.961426
20,换酒书店,江苏省南京市秦淮区剪子巷81号,118.795451,32.01924
21,新华书店(南京南湖路店),南湖路14-2号,118.76307,32.035219
22,万象书坊,江苏省南京市鼓楼区金银街8号,118.783495,32.063725
23,南京大学-学府旧书店,江苏省南京市鼓楼区汉口路9,118.787806,32.059655
24,新华书店(南京梅山店),中兴路46幢3号,118.637505,31.907247
25,先锋颐和书馆,江苏省南京市鼓楼区江苏路39号(江苏路广场处),118.775603,32.071297
27,砺锋书局,江苏省南京市江宁区竹山路67号,118.851968,31.955461
28,文云书店,江苏省南京市玄武区孝陵卫街177南50米,118.865358,32.040714
29,南京法律书店,广州路14-2号,118.788902,32.056606
30,励学书店,江苏省南京市栖霞区仙林大道和园商业街168幢12室,118.966848,32.113937
31,建筑书店(中山北路店),中山北路200-1号,118.77442,32.079487
32,南京市建邺区思思想想书店,南京市建邺区江东中路与富春江东街交叉路口西南侧(金奥国际购物中心),118.731926,32.004811
33,奇点书集,江苏省南京市玄武区中山路286号,118.792149,32.060751
34,建邺区图书馆,江苏省南京市建邺区雨润大街99号,118.725117,31.990724
35,三馀书社,江苏省南京市玄武区琵琶洲16号,118.83325,32.059643
36,G·TAKAYA(金鹰中心店),南京市秦淮区汉中路89号金鹰国际购物中心F2,118.785199,32.047799
37,樊登读书(南京旗舰店),江苏省南京市江宁区胜太路99号3栋207,118.825292,31.951768
38,金陵图书馆,南京市建邺区乐山路158号,118.724142,32.018404
39,学友二手书店(南京大学医院东南),仙林大道163号南京大学仙林校区内,118.961404,32.120221
40,雨花台区图书馆,江苏省南京市雨花台区软件大道168号,118.765324,31.980066
41,江宁区图书馆(九龙湖阅读分中心),江苏省南京市江宁区苏源大道35号东100米,118.817235,31.917419
42,南京交通书店,南京市秦淮区升州路18-4,118.790023,32.029772
43,随园书苑,宁海路122号师范大学随园校区600号楼,118.774386,32.058653
44,南京弘阳书店,大桥北路24号金盛装饰城五楼516室,118.73994,32.139354
45,南京市秦淮区小陈书店,南京市秦淮区建邺路与仓巷交叉路口往西南约100米(天一居),118.780072,32.037921
46,南京博翰书店,龙蟠路173号金思维大厦,118.820245,32.078489
47,小黄猫书店,南京市江宁区月华路(弘阳上院),118.903616,31.934221
48,贝思建筑书店(珠江路店),珠江路688号卓越大厦1127室,118.810352,32.052894
49,新曙光教辅书店,棠城路百树园门面房5-7号凯旋假日酒店的旁边,118.855808,32.350058
50,艺厘米(南京凤凰书城店),湖南路1号凤凰国际书城2层D铺,118.789019,32.075042
51,南京远东书局,江苏省南京市江宁区将军大道20号9座512室,118.793352,31.941666
52,乐尚书店,南京市栖霞区花港路与天泉路交叉路口往西南约100米(中南世纪雅苑),118.917082,32.043002
53,栖霞区图书馆,江苏省南京市栖霞区尧辰路与新城路交叉口西南200米,118.88967,32.134115
54,草堂书斋,长江路84号,118.842594,32.350073
55,南京大学(仙林校区)-杜厦图书馆,江苏省南京市栖霞区仙林大道163号杜厦图书馆F1层,118.967261,32.119633
56,南京老图书馆,江苏省南京市玄武区成贤街66-5,118.802097,32.057527
57,南京博翔书店,南京市栖霞区朝阳路与当山路交叉路口往西约100米(听竹苑),119.012598,32.149116
58,南京浦口新华书店有限责任公司,江苏省南京市浦口区凤凰大街1-1南50米,118.634394,32.061808
59,梦圆书店(新华西路店),南京市六合区新华西路60号,118.747868,32.221418
60,南京图书馆(钟山学院分馆),马群街169号钟山学院内,118.896854,32.051648
61,南京信息职业技术学院-图书馆,文澜路99号南京信息职业技术学院内,118.947751,32.134971
62,南京凯帆书店,南京市六合区龙瑞路与龙华西路交叉路口往北约150米(骋望七里楠花园),118.805494,32.325667
63,南京法政书店,南京市鼓楼区宁海路79号,118.777828,32.06327
64,长三角出版物市场,幕府西路2号,118.781344,32.115829
65,南京六合区育人书店,龙池街道新集北路3号育人书店,118.726481,32.31086
66,南京图书馆-24小时自助图书馆,江苏省南京市玄武区中山东路189号南京图书馆东门负1楼,118.802619,32.048057
67,南京图书馆-东侧入口,中山东路189号东门,118.802775,32.048707
68,秦淮区图书馆,江苏省南京市秦淮区钞库街21号,118.793922,32.023894
69,中文图书借阅(南京图书馆),中山东路189号南京图书馆F2层,118.802188,32.047827
70,南京小多灵公益图书馆,江苏省南京市江宁区武夷绿洲137幢103,118.848836,31.932358
71,南京书房,江苏省南京市建邺区嵩山路123号,118.74907,32.007835
72,六合图书馆,江苏省南京市六合区王桥路155号,118.84169,32.334855
73,文献阅览(南京图书馆),中山东路189号南京图书馆F4层,118.802301,32.047939
74,南京三中图书馆,江苏省南京市秦淮区白下路193号,118.800498,32.034556
75,南京师大数理化图书馆,文苑路1号,118.917732,32.107691
76,南京动漫图书馆,南京市江宁区知行路(金陵科技学院),118.906844,31.909637
77,南京图书馆古籍部,江苏省南京市玄武区中山东路189东门4楼,118.802659,32.048611
78,皇城印象,南京市秦淮区午朝门公园南门内,118.82356,32.043483
79,培训教室(南京图书馆),江苏省南京市玄武区中山东路189号南京图书馆B1层,118.801642,32.048068
80,德语资料区(南京图书馆),中山东路189号南京图书馆F4层,118.802286,32.047794
81,南京科技职业学院(图书馆),江苏省南京市六合区欣乐路188,118.753622,32.238599
